programID,season,workID,composerLastName,composerFirstName,workTitle,OpusNumber,conductorLastName,conductorFirstName
5627,1935-36,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Toscanini, Arturo
5630,1935-36,53*,Pergolesi,  Giovanni  Battista,CONCERTINO, STRINGS,Lange, Hans
1614,1935-36,2451*1,Bach,  Johann  Sebastian,BRANDENBURG CONCERTO NO. 3 IN G MAJOR, BWV 1048 (ARR. Seiffert),Schelling, Ernest
6055,1935-36,53*,Pergolesi,  Giovanni  Battista,CONCERTINO, STRINGS,Lange, Hans
6059,1935-36,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Toscanini, Arturo
6024,1935-36,6232*1,MacDowell,  Edward  A.,ROLAND SYMPHONY, TWO FRAGMENTS,Schelling, Ernest
386,1935-36,51701*1,Rossini,  Gioachino,ITALIANA IN ALGERI, L',Toscanini, Arturo
6076,1935-36,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Toscanini, Arturo
6082,1935-36,51701*1,Rossini,  Gioachino,ITALIANA IN ALGERI, L',Toscanini, Arturo
6085,1935-36,61*,Zilcher,  Hermann,RAMEAU SUITE, OP.76,Lange, Hans
