programID,season,workID,composerLastName,composerFirstName,workTitle,OpusNumber,conductorLastName,conductorFirstName
2107,1933-34,8957*1,Mozart,  Wolfgang  Amadeus,MARRIAGE OF FIGARO, THE,Schelling, Ernest
5381,1933-34,52914*,Manfredini,  Francesco,CONCERTO GROSSO, OP. 3,Lange, Hans
547,1933-34,1289*2,De Lamarter,  Eric,BETROTHAL, THE,Lange, Hans
2311,1933-34,52914*,Manfredini,  Francesco,CONCERTO GROSSO, OP. 3,Lange, Hans
561,1933-34,52364*1,Beethoven,  Ludwig  van,EGMONT, OP.84,Toscanini, Arturo
5784,1933-34,51306*10,Berlioz,  Hector,DAMNATION DE FAUST, LA,Schelling, Ernest
573,1933-34,1862*1,Rossini,  Gioachino,SCALA DI SETA, LA (THE SILKEN LADDER),Toscanini, Arturo
578,1933-34,52410*1,Beethoven,  Ludwig  van,CREATURES OF PROMETHEUS, OP. 43,Toscanini, Arturo
5789,1933-34,50025*,Tchaikovsky,  Pyotr  Ilyich,ROMEO AND JULIET, FANTASY-OVERTURE,Schelling, Ernest
2316,1933-34,51821*,Saint-Saens [Saint-Saëns],  Camille,SYMPHONY NO. 3 IN C MINOR, OP. 78 (ORGAN SYM.),Toscanini, Arturo
596,1933-34,51821*,Saint-Saens [Saint-Saëns],  Camille,SYMPHONY NO. 3 IN C MINOR, OP. 78 (ORGAN SYM.),Toscanini, Arturo
970,1933-34,52449*,Beethoven,  Ludwig  van,SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL),Toscanini, Arturo
2754,1933-34,1181*,Bruckner,  Anton,SYMPHONY NO. 4, E FLAT MAJOR (ROMANTIC),Toscanini, Arturo
983,1933-34,51987*,Haydn,  Franz  Joseph,SYMPHONY NO.  64, A MAJOR (TEMPORA MUTANTUR),Lange, Hans
2775,1933-34,2819*,Schubert,  Franz,SYMPHONY NO. 8, B MINOR,Schelling, Ernest
989,1933-34,51987*,Haydn,  Franz  Joseph,SYMPHONY NO.  64, A MAJOR (TEMPORA MUTANTUR),Lange, Hans
994,1933-34,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Toscanini, Arturo
2780,1933-34,9496*,Vivaldi,  Antonio,CONCERTO, VIOLIN,Schelling, Ernest
1000,1933-34,9194*1,Smetana,  Bedrich,BARTERED BRIDE, THE,Toscanini, Arturo
2755,1933-34,9194*1,Smetana,  Bedrich,BARTERED BRIDE, THE,Toscanini, Arturo
1402,1933-34,52402*,Beethoven,  Ludwig  van,MISSA SOLEMNIS IN D MAJOR, OP.123,Toscanini, Arturo
7135,1933-34,2819*,Schubert,  Franz,SYMPHONY NO. 8, B MINOR,Schelling, Ernest
1407,1933-34,9194*1,Smetana,  Bedrich,BARTERED BRIDE, THE,Toscanini, Arturo
1412,1933-34,9509*,Vivaldi,  Antonio,CONCERTO GROSSO, A MAJOR,Toscanini, Arturo
1416,1933-34,53905*,Handel,  George  Frideric,CONCERTO GROSSO, OP. 6,Lange, Hans
3186,1933-34,53905*,Handel,  George  Frideric,CONCERTO GROSSO, OP. 6,Lange, Hans
1421,1933-34,52449*,Beethoven,  Ludwig  van,SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL),Toscanini, Arturo
1425,1933-34,51055*,Mozart,  Wolfgang  Amadeus,CONCERTO, PIANO NO. 21,Toscanini, Arturo
3187,1933-34,51987*,Haydn,  Franz  Joseph,SYMPHONY NO.  64, A MAJOR (TEMPORA MUTANTUR),Lange, Hans
1837,1933-34,51872*,Brahms,  Johannes,SYMPHONY NO. 2 IN D MAJOR, OP. 73,Toscanini, Arturo
1845,1933-34,2990*1,Weber,  Carl  Maria Von,PRECIOSA, OP. 78,Lange, Hans
3630,1933-34,2990*1,Weber,  Carl  Maria Von,PRECIOSA, OP. 78,Lange, Hans
1859,1933-34,53594*,Geminiani,  Francesco,CONCERTO GROSSO, OP. 3,Toscanini, Arturo
3633,1933-34,53594*,Geminiani,  Francesco,CONCERTO GROSSO, OP. 3,Toscanini, Arturo
1865,1933-34,50564*,Wagner,  Richard,FAUST OVERTURE, WWV 59,Toscanini, Arturo
1871,1933-34,1862*1,Rossini,  Gioachino,SCALA DI SETA, LA (THE SILKEN LADDER),Toscanini, Arturo
3638,1933-34,1862*1,Rossini,  Gioachino,SCALA DI SETA, LA (THE SILKEN LADDER),Toscanini, Arturo
1884,1933-34,1867*,Bach,  Johann  Sebastian,SUITE NO. 3, D MAJOR,Toscanini, Arturo
3643,1933-34,51872*,Brahms,  Johannes,SYMPHONY NO. 2 IN D MAJOR, OP. 73,Toscanini, Arturo
1892,1933-34,9007*17,Wagner,  Richard,MEISTERSINGER, DIE,Toscanini, Arturo
12317,1933-34,52364*1,Beethoven,  Ludwig  van,EGMONT, OP.84,Iturbi, Jose
12318,1933-34,51289*,Mozart,  Wolfgang  Amadeus,SERENADE, STRINGS,Iturbi, Jose
12319,1933-34,2331*,Rimsky-Korsakov,  Nikolai,SCHEHERAZADE, OP. 35,Iturbi, Jose
12321,1933-34,50070*,Tchaikovsky,  Pyotr  Ilyich,SYMPHONY NO. 6, B MINOR,Iturbi, Jose
12322,1933-34,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Iturbi, Jose
12325,1933-34,2819*,Schubert,  Franz,SYMPHONY NO. 8, B MINOR,Iturbi, Jose
12327,1933-34,52389*,Beethoven,  Ludwig  van,LEONORE OVERTURE NO. 3, OP. 72B,Iturbi, Jose
12328,1933-34,51289*,Mozart,  Wolfgang  Amadeus,SERENADE, STRINGS,Iturbi, Jose
12329,1933-34,8957*1,Mozart,  Wolfgang  Amadeus,MARRIAGE OF FIGARO, THE,Iturbi, Jose
12332,1933-34,51149*,Liszt,  Franz,PRELUDES, LES (SYMPHONIC POEM NO. 3),Iturbi, Jose
12333,1933-34,9187*1,Weber,  Carl  Maria Von,EURYANTHE, OP. 81,Ormandy, Eugene
12335,1933-34,53052*,Lyadov,  Anatoli,RUSSIAN FOLK SONGS, EIGHT,Ormandy, Eugene
12337,1933-34,856*,Schubert,  Franz,ROSAMUNDE: OVERTURE, D.644,Ormandy, Eugene
12338,1933-34,11063*,Bach,  Johann  Sebastian,PARTITA NO. 2, D MINOR,Ormandy, Eugene
12339,1933-34,2877*,Dvorak,  Antonín,SYMPHONY NO. 9, E MINOR,Ormandy, Eugene
12340,1933-34,51807*,Brahms,  Johannes,ACADEMIC FESTIVAL OVERTURE, OP.80,Ormandy, Eugene
12344,1933-34,50025*,Tchaikovsky,  Pyotr  Ilyich,ROMEO AND JULIET, FANTASY-OVERTURE,Ormandy, Eugene
12345,1933-34,9003*7,Wagner,  Richard,TANNHAUSER, WWV 70,Ormandy, Eugene
12346,1933-34,51884*,Brahms,  Johannes,SYMPHONY NO. 4 IN E MINOR, OP. 98,Hoogstraten, Willem van
12347,1933-34,856*,Schubert,  Franz,ROSAMUNDE: OVERTURE, D.644,Hoogstraten, Willem van
